code,发行人中文简称,发行人中文名称,起息日期,起息年份
000006.SZ,深振业,深圳市振业(集团)股份有限公司,2012-12-19,2012
000009.SZ,中国宝安,中国宝安集团股份有限公司,2011-12-07,2011
000027.SZ,深圳能源,深圳能源集团股份有限公司,2015-12-07,2015
000031.SZ,中粮地产,中粮地产(集团)股份有限公司,2016-03-28,2016
000042.SZ,中洲控股,深圳市中洲投资控股股份有限公司,2016-08-11,2016
000043.SZ,中航地产,中航地产股份有限公司,2014-07-04,2014
000046.SZ,泛海控股,泛海控股股份有限公司,2016-04-13,2016
000059.SZ,华锦股份,北方华锦化学工业股份有限公司,2015-05-19,2015
000069.SZ,华侨城,深圳华侨城股份有限公司,2012-08-23,2012
000078.SZ,海王生物,深圳市海王生物工程股份有限公司,2017-06-28,2017
000088.SZ,盐田港,深圳市盐田港股份有限公司,2012-12-27,2012
000089.SZ,深圳机场,深圳市机场股份有限公司,2012-08-27,2012
000100.SZ,TCL集团,TCL集团股份有限公司,2014-06-26,2014
000158.SZ,常山北明,石家庄常山北明科技股份有限公司,2008-08-12,2008
000400.SZ,许继电气,许继电气股份有限公司,2011-08-22,2011
000401.SZ,冀东水泥,唐山冀东水泥股份有限公司,2012-05-15,2012
000402.SZ,金融街,金融街控股股份有限公司,2017-11-20,2017
000415.SZ,渤海金控,渤海金控投资股份有限公司,2015-04-13,2015
000422.SZ,湖北宜化,湖北宜化化工股份有限公司,2016-03-16,2016
000425.SZ,徐工机械,徐工集团工程机械股份有限公司,2011-08-29,2011
000498.SZ,山东路桥,山东高速路桥集团股份有限公司,2017-10-27,2017
000507.SZ,珠海港,珠海港股份有限公司,2011-08-30,2011
000511.SZ,烯碳新材,银基烯碳新材料集团股份有限公司,2012-11-09,2012
000514.SZ,渝开发,重庆渝开发股份有限公司,2016-08-10,2016
000517.SZ,荣安地产,荣安地产股份有限公司,2013-03-18,2013
000528.SZ,柳工,广西柳工机械股份有限公司,2017-03-10,2017
000531.SZ,恒运集团,广州恒运企业集团股份有限公司,2011-07-22,2011
000532.SZ,华金资本,珠海华金资本股份有限公司,2012-03-22,2012
000533.SZ,万家乐,广东万家乐股份有限公司,2014-12-05,2014
000538.SZ,云南白药,云南白药集团股份有限公司,2013-06-07,2013
000540.SZ,中天金融,中天金融集团股份有限公司,2013-01-14,2013
000546.SZ,金圆股份,金圆水泥股份有限公司,2015-12-09,2015
000547.SZ,航天发展,航天工业发展股份有限公司,2010-01-29,2010
000559.SZ,万向钱潮,万向钱潮股份有限公司,2014-06-17,2014
000564.SZ,供销大集,供销大集集团股份有限公司,2016-08-19,2016
000566.SZ,海南海药,海南海药股份有限公司,2014-03-06,2014
000587.SZ,金洲慈航,金洲慈航集团股份有限公司,2016-11-03,2016
000589.SZ,贵州轮胎,贵州轮胎股份有限公司,2014-09-18,2014
000597.SZ,东北制药,东北制药集团股份有限公司,2015-09-21,2015
000599.SZ,青岛双星,青岛双星股份有限公司,2012-12-14,2012
000600.SZ,建投能源,河北建投能源投资股份有限公司,2016-06-27,2016
000608.SZ,阳光股份,阳光新业地产股份有限公司,2017-10-24,2017
000612.SZ,焦作万方,焦作万方铝业股份有限公司,2015-08-07,2015
000616.SZ,海航投资,海航投资集团股份有限公司,2009-11-13,2009
000619.SZ,海螺型材,芜湖海螺型材科技股份有限公司,2015-05-13,2015
000620.SZ,新华联,新华联文化旅游发展股份有限公司,2016-04-19,2016
000631.SZ,顺发恒业,顺发恒业股份公司,2012-09-18,2012
000652.SZ,泰达股份,天津泰达股份有限公司,2015-03-13,2015
000656.SZ,金科股份,金科地产集团股份有限公司,2017-11-23,2017
000659.SZ,珠海中富,珠海中富实业股份有限公司,2015-09-10,2015
000667.SZ,美好置业,美好置业集团股份有限公司,2016-03-01,2016
000669.SZ,金鸿控股,金鸿控股集团股份有限公司,2016-11-22,2016
000671.SZ,阳光城,阳光城集团股份有限公司,2012-07-10,2012
