名称,发文数,关注数,粉丝数,获赞数,认证,位置,简介,文章id,标题,发布时间,评论数,转发数,点赞数
南方健康,12343,3373,6013709,1693162,头条青云获奖者 优质健康领域创作者,广东省深圳市,大众最喜欢的健康科普养生平台,202002261801190100150420441A002DBE,使用吡格列酮、罗格列酮的糖尿病患者，要注意3种不良反应,2020/2/25 21:07,0,0,7
南方健康,12343,3373,6013709,1693162,头条青云获奖者 优质健康领域创作者,广东省深圳市,大众最喜欢的健康科普养生平台,202002261801190100150420441A002DBE,早产儿会比正常小孩笨一点？早产可以预防预知吗？告诉你答案,2020/2/25 21:01,0,0,0
南方健康,12343,3373,6013709,1693162,头条青云获奖者 优质健康领域创作者,广东省深圳市,大众最喜欢的健康科普养生平台,202002261801190100150420441A002DBE,减肥总是不成功？可能是主食没吃对，记住3种主食，很快看到效果,2020/2/25 20:15,0,0,6
南方健康,12343,3373,6013709,1693162,头条青云获奖者 优质健康领域创作者,广东省深圳市,大众最喜欢的健康科普养生平台,202002261801190100150420441A002DBE,"【人类乳突病毒是什么？】<br><br>人类乳突瘤病毒（HPV）是一种非常微小的DNA病毒，它专门感染人类表皮及黏膜组织，几乎所有的女性子宫颈癌都有人类乳突病毒的存在，而在上百种HPV病毒中，可能引起子宫颈癌的有13种高危型和5种中危型，HPV病毒已被判定为子宫颈癌的元凶。<br><br>HPV病毒主要是由性接触传染，建议9~45岁的女性接种HPV疫苗预防；此外，有性经验者最好定期进行宫颈涂片筛查。<br><br><a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1652701271461895"">#科学每一天#</a> <a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1623417676578820"">#清风计划#</a> <a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1647522324163614"">#南方健康超能团#</a> ",2020/2/25 20:14,0,0,22
南方健康,12343,3373,6013709,1693162,头条青云获奖者 优质健康领域创作者,广东省深圳市,大众最喜欢的健康科普养生平台,202002261801190100150420441A002DBE,每天吃一颗鸡蛋和隔两三天吃一颗鸡蛋，对血脂的影响有啥不同？,2020/2/25 20:14,0,0,1
南方健康,12343,3373,6013709,1693162,头条青云获奖者 优质健康领域创作者,广东省深圳市,大众最喜欢的健康科普养生平台,202002261801190100150420441A002DBE,掏耳朵伤到宝宝鼓膜？挖耳屎这等小事的风险，你可能承受不起,2020/2/25 20:05,0,0,0
南方健康,12343,3373,6013709,1693162,头条青云获奖者 优质健康领域创作者,广东省深圳市,大众最喜欢的健康科普养生平台,202002261801190100150420441A002DBE,宝宝应该从几个月开始刷牙？医生：别晚于这个时间，刷错了毁牙齿,2020/2/25 19:57,0,0,0
南方健康,12343,3373,6013709,1693162,头条青云获奖者 优质健康领域创作者,广东省深圳市,大众最喜欢的健康科普养生平台,202002261801190100150420441A002DBE,"【坚持用蒲公英泡水，身体四个地方会变好】<br><br>很多人，都知道，蒲公英是春天里的小野菜，刚刚发芽，鲜嫩可口，是一年中蒲公英最鲜嫩的时候！<br><br>到了夏季，蒲公英长大了，口感也就“老了”，因此，很多人在夏季，就“抛弃”了蒲公英，不再吃它了！可是，你知道吗？夏季，将长大的蒲公英，炒制成茶，泡水喝，有很好的养生功效！<a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1647522324163614"">#南方健康超能团#</a> <br><br>祛湿热，改善痘痘好处一<br><br>立夏之后，湿邪之气最容易入侵体内，导致“湿热重”，危害身体健康！身体会出现眼睛红肿、口角糜烂、尿黄、牙痛、咽喉痛，头晕，头发油腻，苦干口苦，头发皮肤油腻......<br><br>一杯蒲公英水可以有效缓解，泻火除湿，改善湿热所导致的恶心、舌苔发黄等问题，对湿热引起的痘痘也有不错的效果。<br><br>排肝毒，降肝火好处二<br><br>初夏若饮食燥热、情志不畅、休息不足，极容易导致肝火上升，身体会出现口干舌燥、咽喉肿痛、口苦、口臭等现象。<br><br>蒲公英入肝经，具有卓越的肝脏洁净和增强效力，对肝脏和胆囊有补益，可排肝毒。值得注意的是，对于降肝火，蒲公英根的效果要优于蒲公英叶子，所以，此时最好用蒲公英根泡水喝!<br><br>清胃热，去口臭好处三<br><br>夏季高温酷暑，常常使人人恹恹欲睡，精神疲懒，而反映在身体上，则可表现为胃部灼热疼痛、腹胀不想吃饭、大便稀烂或便秘、口干口臭、牙龈肿痛等等。如果，你有以上的三种或者三种以上的症状，那么很可能就是胃火过大了。<br><br>蒲公英入肝、胃二经，不仅可以降肝火，对于清胃热效果也很好。对于胃热引起的口臭、胃胀痛、小便黄等效果显著，并且，蒲公英味道清香，可清新口气!<br><br>改善口腔溃疡好处四<br><br>夏季一上火，就会出现口腔溃疡的情况，此时，可以将咀嚼炒制后的干蒲公英!<br><br>蒲公英的去火消炎、消肿散结作用，有利于减轻舌头及口腔溃疡部分的肿胀，减轻疼痛。<br><br>想立即拥有好处多多的蒲公英茶吗?赶紧点击下方蓝字“看一看”<br>秋冬季节买回家，夏季天气炎热就不用愁啦！<br><br><a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1623417676578820"">#清风计划#</a> <a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1652701271461895"">#科学每一天#</a>",2020/2/25 19:48,11,5,40
南方健康,12343,3373,6013709,1693162,头条青云获奖者 优质健康领域创作者,广东省深圳市,大众最喜欢的健康科普养生平台,202002261801190100150420441A002DBE,前列腺钙化与哪些因素有关？会癌变吗？医生说得很中肯,2020/2/25 19:44,0,0,0
南方健康,12343,3373,6013709,1693162,头条青云获奖者 优质健康领域创作者,广东省深圳市,大众最喜欢的健康科普养生平台,202002261801190100150420441A002DBE,"【常喝菊花茶清肝明目，医生提醒：喝菊花茶要注意这3点】<br><br>菊花作为花中四君子，不仅可观赏，可寄托情志，当然也可以热水冲泡，来一杯淡雅怡人的菊花茶，也是非常健康养生的。从唐朝起人们就有了喝菊花茶的习惯，到如今菊花茶已经成了生活中比较常见的花草茶。<a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1647522324163614"">#南方健康超能团#</a> <br><br>饮用菊花茶的好处<br><br>菊花味辛、甘、苦，性微寒，归肺、肝经，中医认为菊花具有疏风散热、清肝明目等功效，有助于缓解风热感冒引起的咳嗽、喉咙肿痛、黄痰、口干舌燥等症状。并且现在正值春季，是一个养肝的好时节，菊花入肝经，能够滋补肝脏，平肝阳，清肝热。清肝以名目，对于一些用眼过度，眼疲劳的朋友来说，平时泡一杯菊花茶也是很好的。<br><br>菊花中含有黄体酮成分，可以降低血液中的胆固醇，降低血脂，扩张冠状动脉，菊花还可以增加毛细血管抵抗力，对于一些冠心病、动脉硬化、高血压等心血管疾病有一定的帮助。<br><br>菊花中的黄酮类物质还具有很好的抗氧化作用，可以消除身体中的自由基，延缓衰老，饮用菊花茶还可以缓解青春痘问题。<br><br>菊花茶具有抗菌抗病毒的作用，能够抑制革兰氏阳性菌和杆菌特别是金黄色葡萄球菌等细菌的活性，也能够对骨髓灰质炎病毒、麻疹病毒、单纯疱疹病毒等病毒起到抑制作用。<br><br>菊花茶清热解毒，夏季时将菊花茶冰镇并加上蜂蜜或者冰糖，不仅清凉美味，还能够降火气润喉。但体热的人就不适宜放冰糖了。<br><br>要注意的是菊花茶虽好，但是饮用时也有一些注意事项。<br><br>1、泡菊花茶时随泡随饮，不要隔夜，菊花中黄酮类物质不稳定，搁置时间过长容易变质，而且营养价值会下降。<br><br>2、菊花不宜与猪肉、鸡肉同煮，也不宜与芹菜一起吃。<br><br>3、菊花性凉，脾胃虚寒、容易腹泻患有慢性结膜炎、阳虚体质的人不宜饮用菊花茶。<br><br>如有需要点击下方蓝字“看一看”即可购买纯正菊花茶<br><br><a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1623417676578820"">#清风计划#</a> <a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1652701271461895"">#科学每一天#</a>",2020/2/25 19:36,6,3,18
