名称,发文数,关注数,粉丝数,获赞数,认证,位置,简介,文章id,标题,发布时间,评论数,转发数,点赞数
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2.02002E+33,北京市疾控中心：对鞋底、快递、外卖包装过度消毒没必要,2020/2/26 17:42,3,1,0
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2.02002E+33,北京疾控回应新怡家园一女子武汉来京确诊新冠肺炎,2020/2/26 17:42,2,0,0
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2.02002E+33,东京奥运会有变数？国际奥委会独家回应,2020/2/26 17:35,2,2,0
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2.02002E+33,境外团队游客从25万降至不到90人,2020/2/26 17:27,2,1,11
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2.02002E+33,微视频丨董倩再访方舱：寻找杨护士,2020/2/26 17:19,0,0,0
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2.02002E+33,外交部：中方将与有关国家分享防控经验 携手应对疫情,2020/2/26 17:07,2,0,0
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2.02002E+33,【韩国飞威海航班5人发热163人集中观察 】记者从威海市委宣传部获悉，2月25日上午10:15，由韩国仁川飞抵威海的济州航空7C8501航班降落在威海大水泊国际机场。机上共载有163名旅客，其中19名韩国乘客、3名美国乘客、1名乌克兰乘客，其余为中国乘客。经现场检查，发现有5名乘客体温异常。为保护入境人员及其亲属生命健康安全，确保万无一失，根据疫情防控规定，该5名乘客立即送至医院进行医学诊治和观察，本次航班其余乘客均由大巴车统一送至指定酒店集中医学观察。（总台央视记者 李秉禅 李金林）,2020/2/26 16:48,751,28,438
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2.02002E+33,外交部：中方愿同韩日一道开展联防联控 维护地区和全球公共卫生安全,2020/2/26 16:44,6,0,0
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2.02002E+33,【疫情期间4种疫苗需及时接种】中国疾控中心研究员冯录召表示，对于新生儿第一针乙肝疫苗和卡介苗，应该及时安排接种；如果母亲是乙肝表面抗原阳性，新生儿第二针和第三针乙肝疫苗，建议与接种单位预约后及时接种；狂犬病和破伤风必须按照疫苗接种程序及时接种。（总台央视记者史迎春）,2020/2/26 16:41,5,3,22
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2.02002E+33,韩国仁川飞山东威海航班5名乘客发热 163人集中观察,2020/2/26 16:27,331,3,0
