mid,用户名,发文时间,内容,转发数,评论数,点赞数
4489303922829734#,穆杉65556,2020-04-02,"
//@刘涛tamia:#感谢 有你# 致敬所有在疫情期间昼夜奋战，为抗疫持续研究的科研工作者。感谢你们守护了我们的健康与生命。点击链接O网页链接看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489303327051887#,李现的经纪人是陆垚,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你#们可以早日回到温暖的家中。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489301179972839#,吾思吾想80,2020-04-02,"
                    //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489301003925961#,淡淡雪888,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489300819361531#,朱荣臻91922,2020-04-02,"
                    //@刘涛tamia:#感谢 有你# 致敬所有在疫情期间昼夜奋战，为抗疫持续研究的科研工作者。感谢你们守护了我们的健康与生命。点击链接O网页链接看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489296922998389#,小猫也有脾气,2020-04-02,"
                    哥你不发点什么吗@王凯kkw//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489296880620728#,用户7427521823,2020-04-02,"
#带着边框一起拍##纯手工鲜果茶##感谢 有你##记录我的农村生活# 别人如何看待都不重要，只要你自己明白那些岁月里发生过什么，你又是如何度过，一分一秒都没有辜负，有这份自知，也就足够了 2庆阳·镇原县 ​                ", , ,
4489296717747487#,ing恰好心动,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# ", , ,
4489294397433480#,新闻夜航,2020-04-02,"
#感谢 有你# 3月26日，伊利集团再捐1.8亿！感谢全国所有支援湖北医疗队员；感谢钟南山、李兰娟、程京等科研团队并支持他们继续科研攻坚；感谢一线医护人员；感谢支持抗疫的各界人士！这一次战疫中我们向世界展现了中华民族守望相助的情怀和力量！点击链接O网页链接，我们和@活力伊利  ​  展开全文c ", , 3,
4489294137296064#,远哥的虾饺,2020-04-02,"
#王凯夏远# #王凯猎狐# #电视剧清平乐# #王凯清平乐# //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489293907372332#,远哥的虾饺,2020-04-02,"
#王凯夏远# #电视剧猎狐# #王凯猎狐#��//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489293827643866#,远哥的虾饺,2020-04-02,"
#电视剧清平乐# #王凯清平乐# #王凯宋仁宗# ��//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489293538523444#,今报食尚,2020-04-02,"
                    “你守护生命 我守护你”——伊利集团作为健康领域的龙头企业，长期以来一直持续关注国民的健康和营养，为感谢奋战在抗疫一线的英雄，特向河南省全体援鄂医疗队员提供营养支持，同心战“疫”，共迎疫情阻击战的胜利时刻。#感谢 有你#你守护生命 我守护你 ​                ", , ,
4489290597898963#,君温柔似水,2020-04-02,"
感谢有你！致敬英雄！//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489289553013661#,just唯现1019,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489289213939771#,用户6803368982,2020-04-02,"
#感谢 有你#这里有抗疫英雄的感人故事。伊利集团再捐1.8亿，感谢全国所有援鄂医疗队员；感谢钟南山、李兰娟、程京等科研团队并支持他们继续科研攻坚；感谢一线医护人员；感谢支持抗疫的各界人士！@活力伊利 联合@新华网 发起#感谢 有你#活动O网页链接，和伊利一起说出你的感谢！ ​                ", , ,
