原微博id,评论id,评论时间,正文,回复数量,点赞数量,作者点赞,用户id,用户名,用户性别,用户微博数,用户关注数,用户粉丝数,用户认证标签,用户描述,会员等级
4478448325975707,4478449663719670,Tue Mar 03 17:51:07 +0800 2020,大家可以关注抖音yikaoahuo6666 整理了师哥师姐的艺考分享,0,1,False,5101328721,中戏北电的帅哥们,m,10605,974,1262011,,自荐、投稿、演员推介请私信。艺考咨询请加微信: seeyoumojie QQ:3534224582,7
4478448325975707,4478463962552129,Tue Mar 03 18:47:57 +0800 2020,徐璐+袁雨萱？？？,1,11,False,7200020629,XueyingLeeeeeee,f,0,86,14,,🍑,1
4478448325975707,4478451849244454,Tue Mar 03 17:59:49 +0800 2020,这长相一看就知道是会红的长相,0,5,False,1810440244,Deniera,m,962,977,909469,微博VLOG博主 视频自媒体,想去快乐星球,7
4478448325975707,4478542601461382,Wed Mar 04 00:00:25 +0800 2020,我爱了师姐 我觉得报考上海戏剧学院,0,0,False,6100433153,依博_,m,62,161,2734,,20届传媒艺考生 喜欢女孩！！,3
4478448325975707,4478451149170397,Tue Mar 03 17:57:01 +0800 2020,我一女的都觉得漂亮,0,2,False,6239820274,哪里跑出来的小秃头,f,154,121,694,,干啥啥不行，追星第一名,2
4478448325975707,4478485256796311,Tue Mar 03 20:12:34 +0800 2020,好漂亮好漂亮好漂亮,0,1,False,6443475260,斯坦尼斯拉夫lyh,f,94,248,414,,祝平安,5
4478448325975707,4478451232854497,Tue Mar 03 17:57:22 +0800 2020,好像 最近追的韩剧 你好再见妈妈 里面的女二 发现也贼像 长得也像,0,0,False,6576179357,宇宙无敌爱吃酸的33,f,423,79,113,魏毓浩超话小主持人,岁岁平安,0
4478448325975707,4478450826445287,Tue Mar 03 17:55:45 +0800 2020,不，明明是长的好看，这个姐好好看,0,0,False,3177767280,水禾油桃子,f,100,544,163,,快来看我瞎几把过日子。,2
4478448325975707,4478527154113423,Tue Mar 03 22:59:02 +0800 2020,姐姐我🉑 !,0,0,False,5557103008,奶香味滴欣,f,58,83,222,,20届播音艺考生,1
4478448325975707,4478525790745162,Tue Mar 03 22:53:38 +0800 2020,,0,0,False,2724927295,liuhong8967,f,1094,865,243,,,0
4478448325975707,4478483164254879,Tue Mar 03 20:04:15 +0800 2020,同同好漂亮超A!我爱潘玥同我爱潘玥同我爱潘玥同,0,0,False,5949890714,腿超长的长腿大哥哥,m,39,76,28,,大长腿大长腿大长腿,2
