mid,用户名,发文时间,内容,转发数,评论数,点赞数
4474178567034110#,浮力达人君,02月20日,"
                    每日补充，增强免疫力！！！【29.9】汤臣倍健 维生素C 30片*2  拍第二项！维生素C可以预防缺铁性贫血、增强自身免疫力以及参与胶原蛋白的合成等� ​​​​                ",0, 2,3
4474178277729885#,种草仙女买买酱,02月20日,"
                    每日补充�增强免疫力哦！！ 汤臣倍健 维生素C 30片*2  【29.9】�拍第二项！维生素C可以预防缺铁性贫血、增强自身免疫力以及参与胶原蛋白的合成等�这橘子味的也很好吃的哦，你们可以买了，平时来两粒哦！！ ​                ", 9, 1,0
4474178277093698#,人气美食君,02月20日,"
                    每日补充�增强免疫力哦！！ 汤臣倍健 维生素C 30片*2  【29.9】�拍第二项！维生素C可以预防缺铁性贫血、增强自身免疫力以及参与胶原蛋白的合成等�这橘子味的也很好吃的哦，你们可以买了，平时来两粒哦！！ ​                ", 5, 1,0
4474177026950326#,爱淘白菜酱,02月20日,"
                    每日补充�增强免疫力哦！！ 汤臣倍健 维生素C 30片*2  【29.9】�拍第二项！维生素C可以预防缺铁性贫血、增强自身免疫力以及参与胶原蛋白的合成等�这橘子味的也很好吃的哦，你们可以买了，平时来两粒哦！！ ​                ", 25, 1,0
4474171696682384#,要你个头啊,02月20日,"
                    ￥29.9汤臣倍健 维生素C 30片*2  拍第二项！维生素C可以预防缺铁性贫血、增强自身免疫力以及参与胶原蛋白的合成等� ​​​​                ", 1, 1,1
4474170617900741#,阿玉_0909,02月20日,"
                    【29.9】汤臣倍健 维生素C 30片*2  拍第二项！维生素C可以预防缺铁性贫血、增强自身免疫力以及参与胶原蛋白的合成等� ​​​​ 2烟台 ​                ",0, 1,0
4474168265647319#,小兔兔不睡觉,02月20日,"
                    【￥133.0】 正常发货胶原软骨素钙共180片  【正常发货】汤臣倍健胶原钙180片，易吸收，增加骨密度，骨骼好营养，让骨头硬朗如初，有效补充钙，还能增强免疫力哟，补软骨、护关节！关键疼痛，关节损伤！适合各个年龄段  ​                ",0, 1,0
4474163072407088#,会淘券的大叔,02月20日,"
                    【原98券后78】，【汤臣倍健】维生素C咀嚼片240片 线下100片128！咱240片仅78啦！汤臣倍健大牌维生素C咀嚼片！酸酸甜甜口感，每天来2粒！有效抗氧化，增强免疫力，美容养颜效果非常棒，爱美的小姐姐快抢！【赠运费险】  【20元券】微博专享限时领券 ​                ",0,0,0
4474158869710754#,白菜总动员,02月20日,"
                    每日补充，增强免疫力！！！【29.9】汤臣倍健 维生素C 30片*2  拍第二项！维生素C可以预防缺铁性贫血、增强自身免疫力以及参与胶原蛋白的合成等� ​                ",0, 4,27
4474158785995374#,优惠搭配格,02月20日,"
                    [购]:【100元券】微博专享限时领券 每日补充，增强免疫力！！！【29.9】汤臣倍健 维生素C 30片*2  拍第二项！维生素C可以预防缺铁性贫血、增强自身免疫力以及参与胶原蛋白的合成等� ​​​​☟购买教程☟ L每天爱享享的微博视频 ​                ",0,0,0
