mid,用户名,发文时间,内容,转发数,评论数,点赞数
4474158639879635#,爱囤货的靓少女,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158631455967#,小鸡啄白菜,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158631453703#,挖宝团子,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158626435488#,大白菜收藏家,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158626435777#,淘券团子,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158626436178#,囤货小能人,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158626438157#,优惠攻略菌,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158626439297#,囤货买买菌,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158626441738#,省钱快快报菌,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158626450867#,省钱小站长,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158626823565#,我是白小菜啊,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158626826465#,小小巫淘宝,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158626827913#,优惠口袋菌,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158626828748#,白菜就酱,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158626828822#,囤货小喵酱,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158626829644#,挖宝小妹,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158627054263#,挖券小团子,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158627055527#,萌妹淘小二,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158627243140#,爱淘淘小妞,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158627248101#,白菜集装箱,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158627248558#,白菜园大亨,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158627248577#,剁手白菜菌,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158622236689#,种草囤货匠,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158622239307#,大白菜闯天涯,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158622624391#,每天汇优惠,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0,0,0
4474158622627526#,全球省钱营地,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158622852275#,懒癌喵患者,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158622853513#,领券柚子的手账,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158622854334#,剁手淘淘菌,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158622855201#,小松鼠运白菜,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158622856102#,好物分享yo,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
4474158622856352#,领个券啊,02月20日,"
                    【29.9】汤臣倍健，维生素C 30片*2  拍第二项！！疫情期间，買点维生素c增强抵抗力啊！ ​                ",0, 1,0
